base_type,type_,text,price
komputer-laptop,komponen-laptop,"Baterai Lenovo Ideapad G40-70 G400s Touch Series, G40-30 G40-45 BLACK",Rp178.000
komputer-laptop,komponen-laptop,"BATTERY BATERAI BATRE ORIGINAL MACBOOK PRO 13"" A1278 A1322 (2009-2012)",Rp285.000
komputer-laptop,komponen-laptop,SAMSUNG SODIM DDR3L 8GB PC12800 1600mhz,Rp145.000
komputer-laptop,komponen-laptop,Upgrade RAM 4GB/8GB/16GB khusus untuk pembelian laptop ditoko kami,Rp325.000
komputer-laptop,komponen-laptop,LCD LED 14 Inch Slim 30 PIN Small Frame No Bracket,Rp380.000
komputer-laptop,komponen-laptop,Baterai ASUS X200 X200CA X200M X200MA Black,Rp133.000
komputer-laptop,komponen-laptop,Baterai ORIGINAL Asus A456U A456UR A456UQ A456UF A456UV A456 CN21N1508,Rp270.000
komputer-laptop,komponen-laptop,Baut Screw mikro m1.2 m1.4 m1.7 Hitam,Rp500
komputer-laptop,komponen-laptop,IC BQ24780S BQ 24780S,Rp25.000
komputer-laptop,komponen-laptop,RAYDEN Mini Cooling Fan AC 220V Exhaust Kipas Pendingin 8 9 12 Cm,Rp48.361
komputer-laptop,komponen-laptop,Baterai Laptop ASUS A456 A456U C21N1508,Rp595.000
komputer-laptop,komponen-laptop,SAMSUNG SODIMM DDR4 8GB PC21300 / 2666,Rp265.000
komputer-laptop,komponen-laptop,Baterai Asus X200 X200CA X200MA F200CA X200C A31N1302 Black,Rp133.000
komputer-laptop,komponen-laptop,Keyboard laptop asus E203 E203n E203na E203nah E203m E203ma E203mah,Rp53.000
komputer-laptop,komponen-laptop,BATERAI ACER AL14A32 E5-411 E5-421 E5-471 E5-511 E1-432 SLIM,Rp150.000
komputer-laptop,komponen-laptop,RAM KINGSTON SODIMM DDR4 4GB PC 21300 / 2666MHz,Rp155.000
komputer-laptop,komponen-laptop,Baterai Laptop Asus A43S A44H X44H X43U K43U A43U A43SV X44A Original,Rp160.000
komputer-laptop,komponen-laptop,"Keyboard Acer Aspire 4741, 4743, 4745, 4750, 4752, 4810, 4810T hitam",Rp40.000
komputer-laptop,komponen-laptop,Original Baterai Asus A455L X455L X455LA X455LD A455LB A455LD C21N1401,Rp270.000
komputer-laptop,komponen-laptop,Baterai Original Lenovo IBM Lenovo Thinkpad X230 X230S X230i X220,Rp285.000
komputer-laptop,komponen-laptop,RAYDEN Mini Cooling Fan DC 12V Exhaust Kipas Pendingin 4 5 6 8 9 12 Cm,Rp9.900
komputer-laptop,komponen-laptop,LED LCD Asus 14.0 Slim 40 Pin A450 A450C A450CA X450C X450J X450 X401,Rp495.000
komputer-laptop,komponen-laptop,Original Baterai MacBook Pro Retina 15 inch A1398 / A1618 Tahun 2015,Rp650.000
komputer-laptop,komponen-laptop,Baterai batre batrai batere battery Original Laptop HP HS04 HSTNN-LB6V,Rp184.500
komputer-laptop,komponen-laptop,LCD LED Acer ES1-432 E1-410 E1-470 E5-475G E5-476 E5-476G E5-421 SLIM,Rp410.000
komputer-laptop,komponen-laptop,Baterai Laptop HP 14 BS709TU BS710TU BS718TU BS723TU BS006TU BS016TU,Rp218.250
komputer-laptop,komponen-laptop,Baterai Dell Latitude E6230 E6320 E6120 E6220 E6330 E6430S RFJMW ORI,Rp300.982
komputer-laptop,komponen-laptop,Keyboard Laptop Lenovo ThinkPad E440 T440 T440S T440P E431 T450 T460,Rp200.000
komputer-laptop,komponen-laptop,Lcd Led ASUS Vivobook A407 A407M A407MA A407U Small Frame,Rp410.000
komputer-laptop,komponen-laptop,RAM LAPTOP SAMSUNG DDR4 16GB 2666 MHz 21300 ORI GAMING RAM DDR4 16GB,Rp500.000
komputer-laptop,komponen-laptop,Baterai HP pavilion 14S-CF00 14-CF 14-CM00 14S-DK0 14-DK 14S-CM HT03XL,Rp300.000
komputer-laptop,komponen-laptop,Baterai Internal Laptop Lenovo Thinkpad X240 X250 Bagus Murah Bergaran,Rp120.000
komputer-laptop,komponen-laptop,Fan Kipas Sunon Fan 12 cm x 12cm 220 volt AC,Rp46.000
komputer-laptop,komponen-laptop,KINGSTON DDR3 8GB PC12800 SODIM,Rp145.000
komputer-laptop,komponen-laptop,Keyboard Laptop Acer Aspire 3 A315-21 A315-41 A315-31 A315-51 A315-53,Rp57.000
komputer-laptop,komponen-laptop,Baterai Asus A46CA A46CB A46CM A46C A46 K46CA K46CB A31-K56 Black,Rp153.000
