base_type,type_,text,price
handphone-tablet,aksesoris-handphone,Case iPhone 14 Pro Max Plus Spigen Liquid Air Softcase TPU Casing,Rp136.002
handphone-tablet,aksesoris-handphone,VENTION Kabel Data Micro Usb Type C Quick Charge Fast Charging Android,Rp18.000
handphone-tablet,aksesoris-handphone,Griptok Akrilik Flower | Pop Socket Acrylic Bunga | Pegangan HP,Rp5.000
handphone-tablet,aksesoris-handphone,Apple USB-C To Lightning Cable 1m Bergaransi Original 100% New,Rp75.000
handphone-tablet,aksesoris-handphone,Kivee Kabel Data Android Micro USB 2Meter Merah 2.1A Volt,Rp10.999
handphone-tablet,aksesoris-handphone,Chest Strap Handphone Set Mount Belt Holder Clip HP di dada untuk Vlog,Rp50.000
handphone-tablet,aksesoris-handphone,Kabel Data Micro USB JETE CA1 2.4A Fast Charging,Rp19.500
handphone-tablet,aksesoris-handphone,BASEUS Kabel Halo USB to Lightning Fast Charging Iphone Ipad Charger,Rp39.000
handphone-tablet,aksesoris-handphone,KABEL DATA LED BASEUS HALO FAST CHARGING IPHONE/MICRO USB/TYPE-C 1M,Rp45.000
handphone-tablet,aksesoris-handphone,Vention Kabel Data Iphone Type C to Lightning MFI Fast Charging PD,Rp112.000
handphone-tablet,aksesoris-handphone,USAMS U26 KABEL DATA LED USB MICRO/IPHONE/TYPE C FAST CHARGING,Rp10.000
handphone-tablet,aksesoris-handphone,Kabel Data GAMING LED 2M K2-C08 K2 PREMIUM QUALITY TYPE C Fast Chargi,Rp24.000
handphone-tablet,aksesoris-handphone,UNEED Kabel Data Auto Disconnect Type C to iPhone Lightning - UCB45Ci,Rp131.340
handphone-tablet,aksesoris-handphone,Hippo TOMS 2 Kabel data gaming Micro USB Support Fast Quick Charging,Rp26.000
handphone-tablet,aksesoris-handphone,iCover Tempered Glass iPhone 14 Pro Max Plus Anti Gores Screen Guard,Rp83.000
handphone-tablet,aksesoris-handphone,Baseus Kabel Charger Cafule 100W 5A 1M 2M USB Type C to C QC PD Nylon,Rp59.000
handphone-tablet,aksesoris-handphone,Samsung S21 Ultra Note 20 Series Charger Super Fast Charging 25W SEIN,Rp153.033
handphone-tablet,aksesoris-handphone,Dashboard Mount Magnetic Car Phone Holder HP Magnet Mobil,Rp10.795
handphone-tablet,aksesoris-handphone,Cable Data USB A to iPhone Lightning MFI UGREEN Kabel Fast Charge 2.4A,Rp155.002
handphone-tablet,aksesoris-handphone,Vention Kabel USB Type-C to Type-C PD USB C 3A Fast Charging,Rp36.900
handphone-tablet,aksesoris-handphone,KABEL DATA IPHONE BASEUS CABLE TYPEC TO LIGHTNING FAST CHARGING PD 20W,Rp79.000
handphone-tablet,aksesoris-handphone,CORDE OTG Type C USB 3.0 Adapter,Rp17.033
handphone-tablet,aksesoris-handphone,Kabel Data Charger Fast Charge USB to Type C Samsung Original 100%,Rp65.000
handphone-tablet,aksesoris-handphone,MIXIO A61 Tongsis Bluetooth / Tripod Stabilizer Gimbal Selfie - 160cm,Rp228.000
handphone-tablet,aksesoris-handphone,ORIGINAL KABEL DATA CABLE IPHONE ORI FAST CHARGING TYPE C TO LIGHTNING,Rp98.000
