base_type,type_,text,price
handphone-tablet,aksesoris-tablet,"Premium Smart Case Ipad Generation 6th 9.7"" With Slot Pen Auto Lock",Rp88.000
handphone-tablet,aksesoris-tablet,SOFT CASE CASING SLIM BLACK MATTE REDMI 10C PROTECTION CAMERA,Rp4.250
handphone-tablet,aksesoris-tablet,"TOTU iPad 5/6 9.7"" 2017/2018 Smart Case Casing Flip Case Autolock",Rp45.000
handphone-tablet,aksesoris-tablet,XIAOMI KEYBOARD BLUETOOTH ULTRA SLIM FOR MACBOOK IOS ANDROID PC BK3001,Rp125.000
handphone-tablet,aksesoris-tablet,Soft Case Casing Redmi Note 5 5 Pro 6 6 Pro 7 7 Pro Silikon Bear,Rp25.500
handphone-tablet,aksesoris-tablet,Lazypod Holder HP dan Tablet Universal PC dengan Klip 360 Derajat,Rp42.900
handphone-tablet,aksesoris-tablet,Tempred Glass /Screen Guard / Antigores Vivo V17 / V17 Pro / V19 / V20,Rp10.000
handphone-tablet,aksesoris-tablet,Selfie stick R1S tongsis Remote Bluetooth Tripod Lampu Flash,Rp25.500
handphone-tablet,aksesoris-tablet,Case iPad Mini 6 8.3 Inch 2021 KICKSTAND Cover,Rp175.000
handphone-tablet,aksesoris-tablet,charger samsung 25 watt original fast charging casan type C ori S20,Rp107.100
handphone-tablet,aksesoris-tablet,T&W Mini Selfie Stick Fill Light Tongsis Phone Tripod Stand Remote,Rp88.900
handphone-tablet,aksesoris-tablet,USAMS ZJ070 Holder Spring Folding Desktop Tablet Phone Stand - Hitam,Rp20.000
handphone-tablet,aksesoris-tablet,Apple Pencil Case Holder Sleeve Pouch Anti-Slip Nylon Fabric Gen 1 2,Rp49.900
handphone-tablet,aksesoris-tablet,Leather Case iPad Pro 11 ESR Rebound Magnetic with Clasp,Rp 308.900
handphone-tablet,aksesoris-tablet,MILS Paperlike Matte Anti Gores iPad 8 10.2 Pro 11 Air 3 10.5 4 10.9,Rp 125.000
handphone-tablet,aksesoris-tablet,ROBOT Universal Car Holder RT-CH17 30CM Alumunium Tube with Stent,Rp 59.900
handphone-tablet,aksesoris-tablet,ORIGINAL XUNDD CASE XIAOMI REDMI PAD BEATLE HOLDER SERIES,Rp 159.000
handphone-tablet,aksesoris-tablet,JETE H1C Car Holder HP Dasboard & Kaca Depan Mobil Universal,Rp 68.100
handphone-tablet,aksesoris-tablet,IKEA YUPPIENALLE Handphone Holder Bahan Plastik,Rp 9.900
handphone-tablet,aksesoris-tablet,charger samsung 25 watt original fast charging casan type C ori S20,Rp107.100
handphone-tablet,aksesoris-tablet,T&W Mini Selfie Stick Fill Light Tongsis Phone Tripod Stand Remote,Rp88.900
handphone-tablet,aksesoris-tablet,USAMS ZJ070 Holder Spring Folding Desktop Tablet Phone Stand - Hitam,Rp20.000
handphone-tablet,aksesoris-tablet,Apple Pencil Case Holder Sleeve Pouch Anti-Slip Nylon Fabric Gen 1 2,Rp49.900
handphone-tablet,aksesoris-tablet,TEMPERED GLASS REDMI PAD ANTI GORES KACA,Rp 50.000
handphone-tablet,aksesoris-tablet,Apple Pencil Gen 1 & 2 for iPad ORIGINAL BNIB,Rp 1.761.000
handphone-tablet,aksesoris-tablet,TEMPERED GLASS APPLE IPAD PRO 11 12.9 INCH 2021 2020 SCREEN PROTECTOR,Rp 50.000
handphone-tablet,aksesoris-tablet,Kabel infinix Type C Hot 8 / 9 play 10 usb tipe C Fast Charger plastik,Rp 3.700
handphone-tablet,aksesoris-tablet,XIAOMI REDMI PAD SOFT CASE CLEAR AIRBAG SILICONE,Rp 50.000
handphone-tablet,aksesoris-tablet,Wireless Charger Dock Samsung Gear S2 S3 Galaxy Watch 42mm / 46mm,Rp 85.000
