base_type,type_,text,price
komputer-laptop,aksesoris-komputer-laptop,Baseus Laptop Sleeve Case For Macbook Air Tas Pelindung Laptop 13'',Rp118.900
komputer-laptop,aksesoris-komputer-laptop,Vention [CCG] AllIn1 USB Card Reader Micro SD TF High Speed Type-C OTG,Rp79.900
komputer-laptop,aksesoris-komputer-laptop,Hanging Lamp Screen Modern Lampu Layar LED Monitor Komputer Light Bar,Rp259.999
komputer-laptop,aksesoris-komputer-laptop,Vention Micro Mini HDMI to HDMI Adapter Gender Converter,Rp14.560
komputer-laptop,aksesoris-komputer-laptop,Writing tablet / LCD writing pad / Drawing pad / papan tulis LCD 8.5,Rp13.999
komputer-laptop,aksesoris-komputer-laptop,Fantech C30 Luminous 2k 4mp QHD 1440p Webcam,Rp306.740
komputer-laptop,aksesoris-komputer-laptop,Adaptor Charger Original Laptop Asus A455L X450C A450L ADP-65DW-C 65W,Rp104.850
komputer-laptop,aksesoris-komputer-laptop,Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3,Rp121.900
komputer-laptop,aksesoris-komputer-laptop,"SOFTCASE LAPTOP 14"" 14 INCH SLEEVE SARUNG NOTEBOOK COVER MACBOOK",Rp59.900
komputer-laptop,aksesoris-komputer-laptop,Sleeve Case Laptop 11 13 14 15 Inch Free Pouch Laptop Sleeve Bag Case,Rp57.715
komputer-laptop,aksesoris-komputer-laptop,Vention 2in1 Usb Card Reader,Rp34.686
komputer-laptop,aksesoris-komputer-laptop,Keyboard Komputer & Laptop Keyboard Mouse Usb Combo Best,Rp52.500
komputer-laptop,aksesoris-komputer-laptop,Screen Protector Anti Gores Laptop 11 12 13 14 15 Clear Glare Blue Ray,Rp40.000
komputer-laptop,aksesoris-komputer-laptop,Rexus Cooling Pad / Coolingpad Breeze B150 5 Fan With RGB,Rp309.000
komputer-laptop,aksesoris-komputer-laptop,Starco Laptop Stand Tablet Stand Holder Dudukan Laptop Aluminium Alloy,Rp109.900
komputer-laptop,aksesoris-komputer-laptop,FULL HD WEBCAM SPC,Rp79.000
komputer-laptop,aksesoris-komputer-laptop,Rexus Mouse Office Wireless QB200 Skies,Rp169.000
komputer-laptop,aksesoris-komputer-laptop,Vention Kabel Power USB to DC 3.5mm 5V,Rp9.400
komputer-laptop,aksesoris-komputer-laptop,[FS] Logitech M220 Silent Wireless Mouse,Rp175.000
komputer-laptop,aksesoris-komputer-laptop,Sarung Sleeve Case Rhodey for Laptop - L123F,Rp53.900
komputer-laptop,aksesoris-komputer-laptop,New Huion Inspiroy H 642 / RTS 300 pengganti H640 garansi 1 tahun,Rp480.200
komputer-laptop,aksesoris-komputer-laptop,SUPERMALL NPK Laptop Cover - Kain Lap Microfiber Layar Laptop Keyboard,Rp29.000
komputer-laptop,aksesoris-komputer-laptop,Adaptor Charger Carger Casan Original Laptop Acer Aspire 19V-3.42A,Rp73.500
komputer-laptop,aksesoris-komputer-laptop,UGREEN 50540 USB 3.0 4IN1 CF TF SD MS MMC MEMORY CARD READER OTG,Rp129.000
komputer-laptop,aksesoris-komputer-laptop,AC Plug charger Ipad Macbook Magsafe ujung colokan kepala kaki 2 Mac,Rp58.000
komputer-laptop,aksesoris-komputer-laptop,Expandable Braided Cable Sleeves/Pembungkus Kabel diameter 4mm,Rp2.800
komputer-laptop,aksesoris-komputer-laptop,[FS] Logitech MK275 Wireless Keyboard Mouse Combo,Rp307.999
komputer-laptop,aksesoris-komputer-laptop,Original Charger Apple MacBook Pro 85W MagSafe 2 A1424 A1398,Rp275.000
