base_type,type_,text,price
handphone-tablet,tablet,Samsung Galaxy Tab A8 Wifi LTE 3/32 4/128 GB RAM 3 4 ROM 32 128,Rp2.813.000
handphone-tablet,tablet,Xiaomi Mi Pad 5 6/256 WiFi Version Garansi Resmi,Rp4.992.000
handphone-tablet,tablet,Busa reguler filter double klik bubble gum + menthol ice,Rp25.000
handphone-tablet,tablet,iPad Air 5 2022 M1 Chip 64GB IBOX WIFI Only Apple Blue Pink Purple 64,Rp8.450.000
handphone-tablet,tablet,Samsung Galaxy Tab A7 Lite 3/32GB Tab A 7 Lite T225 Garansi Resmi SEIN,Rp2.187.000
handphone-tablet,tablet,XIAOMI REDMI PAD RAM 6/128 GB GARANSI RESMI TAM TERMURAH,Rp3.393.400
handphone-tablet,tablet,Oxva Xlim v2 25w 900mah,Rp250.000
handphone-tablet,tablet,"iPad Air 5 M1 2022 10.9"" 64GB 256GB Gray Pink Purple Blue Starlight",Rp8.539.999
handphone-tablet,tablet,"iPad Pro 2021 M1 11"" inch Wifi Cell 1TB 512GB 256GB 128GB Resmi iBox",Rp11.440.000
handphone-tablet,tablet,Scotch Brite 3M 7447 General Purpose Hand Pad Merah maroon 6 x 9 inchi,Rp9.200
handphone-tablet,tablet,Apple iPad 9/9th Gen 2021 64/256 GB 10.2 inch Wifi Only,Rp5.444.000
handphone-tablet,tablet,SAMSUNG Galaxy Tab S8 [8/128GB] WiFi Only - Garansi Resmi SEIN,Rp8.925.000
handphone-tablet,tablet,Xiaomi Pad 5 6/256GB Xiaomi Mi Pad 5 256 GB Garansi Resmi Grey White,Rp4.860.000
handphone-tablet,tablet,Aflo Virginia Ash,Rp40.000
handphone-tablet,tablet,Samsung Galaxy Tab S6 Lite 4/128Gb Grs resmi Sein,Rp5.369.000
handphone-tablet,tablet,Apple iPad pro 2022 M2 11 Inch 128GB 256GB 512GB 1TB 2TB WiFi Cellular,Rp11.715.000
handphone-tablet,tablet,Filter Double Klik Mentol 50 gram,Rp22.000
handphone-tablet,tablet,PROMO EVERCOSS BRAVO TAB 2022 RAM 3GB 32GB GARANSI RESMI X7,Rp849.000
handphone-tablet,tablet,"realme Pad Mini WiFi 3/32GB 8.7"" Display 6400mAh Battery 18W Charge",Rp1.999.000
handphone-tablet,tablet,infinix hot 20i 4/64 garansi resmi,Rp1.403.000
handphone-tablet,tablet,"Apple iPad Pro 2021 M1 Chip 11"" Inch 128GB WiFi Only Space Grey 128",Rp11.530.000
handphone-tablet,tablet,HUAWEI MatePad 11 Tablet [6+64GB] | 120Hz HUAWEI FullView Display,Rp6.699.000
handphone-tablet,tablet,Realme Tab Pad Mini Lte 4G (3/32Gb+4/64Gb) Garansi Resmi,Rp2.419.000
handphone-tablet,tablet,(RESMI) Samsung Galaxy Tab S8 Ultra S8 Plus S8 256GB 128GB 5G SEIN,Rp8.899.000
handphone-tablet,tablet,Samsung Galaxy Tab A8 Wifi 3/32GB,Rp2.879.000
handphone-tablet,tablet,Farmabex c multivitamin,Rp45.000
handphone-tablet,tablet,iBox Apple iPad Pro 6th Gen 2022 11 Inch 256GB Wifi Only M2 Chip,Rp13.724.000
